id,property_type,location,location_std,region,latitude,longitude,price,area_cent,area_sqft,price_per_cent,orientation,distance_to_sea,distance_to_nearest_beach_km,nearest_beach_name,distance_to_st_andrews_beach_km,distance_to_varkala_cliff_km,distance_to_city_center,distance_to_sea_note,beds,bathrooms,source_url,sea_dummy,source_host,sea_distance_band_fine
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,2000000.0,10.0,4356.0,200000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,2000000.0,13.0,5662.8,153846.15,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,840000.0,7.0,3049.2,120000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,5800000.0,14.0,6098.4,414285.71,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,3000000.0,15.0,6534.0,200000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,20000000.0,48.99,21340.04,408246.58,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Janardhanapuram, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,2340000.0,6.0,2613.6,390000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Janardhanapuram, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,8400000.0,24.0,10454.4,350000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,7700000.0,28.0,12196.8,275000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,12700000.0,127.0,55321.2,100000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
