,id,location,region,property_type,price,area_cent,price_per_cent,sea_distance_band_fine,distance_to_nearest_beach_km,nearest_beach_name,source_url,latitude,longitude
10,https://divinelands.com/property/60-cents-lakefront-land-for-sale-near-perumathura-trivandrum/,Kadinamkulam,North_of_Puthenthope,plot,14400000,60,240000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/60-cents-lakefront-land-for-sale-near-perumathura-trivandrum/,8.6029,76.8179
11,https://divinelands.com/property/2-5-acre-lakefront-land-for-sale-in-channankara-kaniyapuram-near-technopark/,Kadinamkulam,North_of_Puthenthope,plot,75000000,250,300000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/2-5-acre-lakefront-land-for-sale-in-channankara-kaniyapuram-near-technopark/,8.6029,76.8179
12,https://divinelands.com/property/8-acre-waterfront-land-for-sale-in-kadinamkulam-near-technopark/,Kadinamkulam,North_of_Puthenthope,plot,240000000,800,300000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/8-acre-waterfront-land-for-sale-in-kadinamkulam-near-technopark/,8.6029,76.8179
13,https://www.keralarealestate.com/details-57246-2-BHK-Independent-House-Villa-Bungalow-at-Thiruvananthapuram-corporation-Thiruvananthapuram,Vettuthura,North_of_Puthenthope,plot,6500000,28,232142.86,0.5-1 km,0.96,Vettuthura Beach,https://www.keralarealestate.com/details-57246-2-BHK-Independent-House-Villa-Bungalow-at-Thiruvananthapuram-corporation-Thiruvananthapuram,8.5865,76.8257
14,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,7000000,10,700000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-484-sq-yard-r1-spid-Y80218247,8.7379,76.7178
15,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,10800000,36,300000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-1742-sq-yard-spid-W83699318,8.7379,76.7178
16,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,2755000,2.17,1269585.25,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-105-sq-yard-spid-L83408230,8.7379,76.7178
17,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,9800000,20,490000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-968-sq-yard-spid-V83372526,8.7379,76.7178
18,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,12000000,60,200000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-2904-sq-yard-spid-N83351530,8.7379,76.7178
19,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,2500000,2.76,905797.1,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-133-sq-yard-spid-I82710906,8.7379,76.7178
